Strain,ST,ST_to_plot,CG_to_plot,carb_to_plot,Meropenem_MIC,ompK35_functionality,ompK36_functionality,Colistin_resistance,Col,Omp,Bla_carb
EuSCAPE_CZ010,ST14,ST14,CG14/15,-,0.12,Functional,Functional,Sensitive,-,-,-
EuSCAPE_FR067,ST14,ST14,CG14/15,-,2,Functional,Non-functional,Sensitive,-,OmpK36-34%,-
EuSCAPE_DE047,ST14,ST14,CG14/15,-,4,Non-functional,Non-functional,Sensitive,-,OmpK35-17%;OmpK36-28%,-
EuSCAPE_DE023,ST14,ST14,CG14/15,-,8,Non-functional,Non-functional,Sensitive,-,OmpK35-17%;OmpK36-4%,-
EuSCAPE_FR050,ST14,ST14,CG14/15,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IT215,ST14,ST14,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IT093,ST14,ST14,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_ES245,ST14,ST14,CG14/15,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_GR078,ST14,ST14,CG14/15,-,0.06,Non-functional,Functional,Unknown,-,OmpK35-64%,-
EuSCAPE_GR113,ST14,ST14,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_GR116,ST14,ST14,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_HR101,ST14,ST14,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_RS037,ST14,ST14,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_HR062,ST14,ST14,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IE039,ST14,ST14,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_TR282,ST14,ST14,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_TR307,ST14,ST14,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IT249,ST1401,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_RO013,ST1408,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IL055,ST1412,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IT057,ST1418,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_DE052,ST1456,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_BE032,ST1456,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_RO063,ST1469,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_PL006,ST147,ST147,CG147,-,0.12,Non-functional,Functional,Unknown,-,OmpK35-7%,-
EuSCAPE_GR070,ST147,ST147,CG147,-,0.12,Non-functional,Functional,Sensitive,-,OmpK35-48%;OmpK36GD,-
EuSCAPE_RO047,ST147,ST147,CG147,-,0.12,Functional,Functional,Unknown,-,-,-
EuSCAPE_PL056,ST147,ST147,CG147,-,2,Non-functional,Non-functional,Sensitive,-,OmpK35-7%;OmpK36-28%,-
EuSCAPE_BE097,ST147,ST147,CG147,-,4,Non-functional,Non-functional,Unknown,-,OmpK35-58%;OmpK36-75%,-
EuSCAPE_FR016,ST147,ST147,CG147,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_FR072,ST147,ST147,CG147,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IL006,ST147,ST147,CG147,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IL054,ST147,ST147,CG147,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_HU053,ST147,ST147,CG147,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_ES277,ST147,ST147,CG147,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_ES278,ST147,ST147,CG147,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_RO081,ST147,ST147,CG147,-,0.06,Non-functional,Functional,Unknown,-,OmpK35-17%,-
EuSCAPE_RO041,ST147,ST147,CG147,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_RO108,ST147,ST147,CG147,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_TR302,ST147,ST147,CG147,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IT342,ST1471,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_DE044,ST1473,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IE021,ST1478,other,other,-,0.25,Functional,Functional,Unknown,-,-,-
EuSCAPE_UK107,ST1478,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_DE080,ST1486,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_BE104,ST1487,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_UK083,ST1496,other,other,-,0.06,Non-functional,Functional,Unknown,-,OmpK35-4%,-
EuSCAPE_FR002,ST15,ST15,CG14/15,-,0.12,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IT202,ST15,ST15,CG14/15,-,0.12,Functional,Functional,Sensitive,-,-,-
EuSCAPE_HU042,ST15,ST15,CG14/15,-,0.12,Functional,Functional,Unknown,-,-,-
EuSCAPE_HU047,ST15,ST15,CG14/15,-,0.12,Functional,Functional,Unknown,-,-,-
EuSCAPE_RO070,ST15,ST15,CG14/15,-,0.12,Functional,Functional,Unknown,-,-,-
EuSCAPE_IT071,ST15,ST15,CG14/15,-,0.25,Functional,Functional,Resistant,-,-,-
EuSCAPE_ES219,ST15,ST15,CG14/15,-,0.25,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IE022,ST15,ST15,CG14/15,-,0.5,Functional,Functional,Sensitive,-,-,-
EuSCAPE_DE020,ST15,ST15,CG14/15,-,1,Functional,Non-functional,Sensitive,-,OmpK36-19%,-
EuSCAPE_RO045,ST15,ST15,CG14/15,-,1,Non-functional,Functional,Sensitive,-,OmpK35-59%;OmpK36GD,-
